Start write data to file
39.06 103.66 0.00 0.00 0.92
39.06 110.30 0.00 0.00 0.89
39.00 116.94 0.00 0.00 0.83
39.00 106.98 0.00 0.00 0.83
38.94 120.26 0.00 0.00 0.87
38.94 115.28 0.00 0.00 0.89
38.94 106.15 0.00 0.00 0.87
38.88 92.87 0.00 0.00 0.87
38.88 103.66 0.00 0.00 0.92
38.81 114.45 0.00 0.00 0.91
38.81 100.34 0.00 0.00 0.91
38.81 93.70 0.00 0.00 0.91
38.75 94.53 0.00 0.00 0.91
38.75 109.47 0.00 0.00 0.95
38.69 108.64 0.00 0.00 0.92
38.69 93.70 0.00 0.00 0.99
38.69 93.70 0.00 0.00 0.99
38.69 114.45 0.00 0.00 0.99
38.69 89.55 0.00 0.00 0.99
38.69 99.51 0.00 0.00 0.99
38.69 116.11 0.00 0.00 0.99
38.69 106.15 0.00 0.00 0.95
38.63 107.81 0.00 0.00 0.91
38.56 85.40 0.00 0.00 0.91
38.56 92.87 0.00 0.00 0.91
38.50 103.66 0.00 0.00 0.87
38.50 98.68 0.00 0.00 0.87
38.44 107.81 0.00 0.00 0.83
38.44 103.66 0.00 0.00 0.83
38.38 117.77 0.00 0.00 0.83
38.31 106.98 0.00 0.00 0.83
38.31 120.26 0.00 0.00 0.83
38.31 97.02 0.00 0.00 0.83
38.31 94.53 0.00 0.00 0.87
38.31 92.87 0.00 0.00 0.99
38.31 106.15 0.00 0.00 0.95
38.25 94.53 0.00 0.00 0.99
38.31 108.64 0.00 0.00 1.07
38.25 105.32 0.00 0.00 0.87
38.19 111.13 0.00 0.00 0.83
38.25 124.41 0.00 0.00 0.83
38.31 109.47 0.00 0.00 0.83
38.31 100.34 0.00 0.00 0.83
-127.00 114.45 0.00 0.00 0.83
-127.00 92.04 0.00 0.00 0.80
-127.00 106.98 0.00 0.00 0.80
-127.00 108.64 0.00 0.00 0.80
-127.00 103.66 0.00 0.00 0.83
-127.00 104.49 0.00 0.00 0.83
-127.00 99.51 0.00 0.00 0.83
-127.00 111.13 0.00 0.00 0.80
-127.00 90.38 0.00 0.00 0.80
-127.00 97.02 0.00 0.00 0.80
-127.00 100.34 0.00 0.00 0.74
-127.00 94.53 0.00 0.00 0.76
-127.00 100.34 0.00 0.00 0.76
-127.00 98.68 0.00 0.00 0.72
-127.00 97.85 0.00 0.00 0.76
-127.00 106.15 0.00 0.00 0.71
-127.00 98.68 0.00 0.00 0.76
-127.00 110.30 0.00 0.00 0.76
-127.00 81.25 0.00 0.00 0.76
-127.00 107.81 0.00 0.00 0.76
-127.00 102.83 0.00 0.00 0.71
-127.00 94.53 0.00 0.00 0.76
-127.00 101.17 0.00 0.00 0.80
-127.00 90.38 0.00 0.00 0.76
-127.00 106.15 0.00 0.00 0.80
-127.00 106.15 0.00 0.00 0.71
-127.00 104.49 0.00 0.00 0.76
-127.00 103.66 0.00 0.00 0.71
-127.00 94.53 0.00 0.00 0.76
-127.00 93.70 0.00 0.00 0.71
-127.00 117.77 0.00 0.00 0.74
-127.00 83.74 0.00 0.00 0.76
-127.00 108.64 0.00 0.00 0.76
-127.00 109.47 0.00 0.00 0.74
-127.00 101.17 0.00 0.00 0.76
-127.00 98.68 0.00 0.00 0.80
-127.00 114.45 0.00 0.00 0.76
-127.00 102.00 0.00 0.00 0.76
-127.00 92.04 0.00 0.00 0.80
-127.00 96.19 0.00 0.00 0.76
-127.00 106.98 0.00 0.00 0.74
-127.00 113.62 0.00 0.00 0.78
-127.00 111.96 0.00 0.00 0.76
-127.00 94.53 0.00 0.00 0.74
-127.00 103.66 0.00 0.00 0.69
-127.00 106.98 0.00 0.00 0.80
-127.00 103.66 0.00 0.00 0.76
-127.00 103.66 0.00 0.00 0.74
-127.00 106.15 0.00 0.00 0.78
-127.00 98.68 0.00 0.00 0.78
-127.00 103.66 0.00 0.00 0.80
-127.00 103.66 0.00 0.00 0.82
-127.00 105.32 0.00 0.00 0.78
-127.00 106.98 0.00 0.00 0.83
-127.00 109.47 0.00 0.00 0.83
-127.00 106.15 0.00 0.00 0.78
-127.00 106.98 0.00 0.00 0.83
-127.00 119.43 0.00 0.00 0.78
-127.00 103.66 0.00 0.00 0.83
-127.00 101.17 0.00 0.00 0.83
-127.00 104.49 0.00 0.00 0.82
-127.00 102.83 0.00 0.00 0.83
-127.00 97.02 0.00 0.00 0.83
-127.00 105.32 0.00 0.00 0.82
-127.00 110.30 0.00 0.00 0.86
-127.00 100.34 0.00 0.00 0.83
-127.00 94.53 0.00 0.00 0.87
-127.00 98.68 0.00 0.00 0.87
-127.00 98.68 0.00 0.00 0.86
-127.00 107.81 0.00 0.00 0.86
-127.00 113.62 0.00 0.00 0.90
-127.00 112.79 0.00 0.00 0.87
-127.00 97.85 0.00 0.00 0.87
-127.00 105.32 0.00 0.00 0.91
-127.00 109.47 0.00 0.00 0.91
-127.00 99.51 0.00 0.00 0.94
-127.00 119.43 0.00 0.00 0.95
-127.00 115.28 0.00 0.00 0.99
-127.00 96.19 0.00 0.00 0.99
-127.00 83.74 0.00 0.00 0.99
37.88 114.45 0.00 0.00 0.99
37.94 91.21 0.00 0.00 0.99
37.94 104.49 0.00 0.00 1.01
37.94 104.49 0.00 0.00 0.98
37.94 100.34 0.00 0.00 1.01
37.94 110.30 0.00 0.00 1.03
37.94 106.15 0.00 0.00 1.01
37.94 104.49 0.00 0.00 1.03
37.94 130.22 0.00 0.00 1.05
37.94 109.47 0.00 0.00 1.07
37.94 102.00 0.00 0.00 1.03
38.00 92.87 0.00 0.00 1.05
38.00 97.85 0.00 0.00 1.07
38.00 117.77 0.00 0.00 1.01
38.00 104.49 0.00 0.00 1.07
38.06 98.68 0.00 0.00 1.01
38.06 102.00 0.00 0.00 1.01
38.06 94.53 0.00 0.00 1.03
38.06 89.55 0.00 0.00 1.01
38.06 106.15 0.00 0.00 1.01
38.13 96.19 0.00 0.00 1.01
38.13 105.32 0.00 0.00 1.05
38.19 120.26 0.00 0.00 1.01
38.19 94.53 0.00 0.00 1.01
38.25 96.19 0.00 0.00 0.98
38.25 100.34 0.00 0.00 1.03
38.25 92.04 0.00 0.00 1.01
38.25 100.34 0.00 0.00 1.03
38.25 111.13 0.00 0.00 0.98
38.25 106.15 0.00 0.00 1.03
38.25 107.81 0.00 0.00 0.99
38.25 102.83 0.00 0.00 1.01
38.25 99.51 0.00 0.00 0.99
